# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep 18 12:27:44 2023
#
# User preference: *
#
# CONSTRAINT:  where (sy_snum = 1
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and pl_bmassprov like '%mass%'
# CONSTRAINT:  and st_radstr in [0.75, 1.25]
# CONSTRAINT:  and st_massstr in [0.75, 1.25])
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN rv_flag:        Detected by Radial Velocity Variations
# COLUMN ast_flag:       Detected by Astrometric Variations
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
#
pl_name,hostname,sy_snum,rv_flag,ast_flag,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
WASP-132 b,WASP-132,1,1,0,0,7.13351400,0.00000400,-0.00000400,0,130.31030,9.53490,-9.53490,0,Mass,0.75,0.03,-0.03,0,0.78,0.03,-0.03,0
WASP-132 c,WASP-132,1,0,0,0,1.01153400,0.00000500,-0.00000500,0,37.35000,,,1,Mass,0.75,0.03,-0.03,0,0.78,0.03,-0.03,0
WASP-183 b,WASP-183,1,1,0,0,4.11177710,0.00000510,-0.00000510,0,159.55066,14.93801,-14.93801,0,Mass,0.87,0.04,-0.04,0,0.78,0.04,-0.04,0
WASP-23 b,WASP-23,1,1,0,0,2.94442560,0.00000110,-0.00000130,0,280.95000,27.96800,-31.46400,0,Mass,0.77,0.05,,0,0.78,0.13,,0
HD 153557 d,HD 153557,1,1,0,0,40654.64809000,3874.17546000,-4234.02733000,0,8725.66109,1130.19782,-1111.12811,0,Mass,0.75,0.06,-0.04,0,0.79,0.09,-0.09,0
Kepler-176 c,Kepler-176,1,0,0,0,12.75971200,0.00003300,-0.00003300,0,23.00000,13.50000,-8.00000,0,Mass,0.89,0.46,-0.46,0,0.79,0.06,-0.03,0
Kepler-176 d,Kepler-176,1,0,0,0,25.75197400,0.00011500,-0.00011500,0,15.20000,10.40000,-5.80000,0,Mass,0.89,0.46,-0.46,0,0.79,0.06,-0.03,0
Kepler-189 c,Kepler-189,1,0,0,0,20.13486600,0.00005700,-0.00005700,0,22.70000,17.10000,-10.60000,0,Mass,0.75,0.38,-0.38,0,0.79,0.05,-0.03,0
Kepler-37 b,Kepler-37,1,1,0,0,13.36702000,0.00006000,-0.00006000,0,0.79000,,,1,Mass,0.79,0.01,-0.01,0,0.79,0.03,-0.03,0
Kepler-37 c,Kepler-37,1,0,0,0,21.30184800,0.00001800,-0.00001800,0,1.30000,,,1,Mass,0.79,0.01,-0.01,0,0.79,0.03,-0.03,0
Kepler-37 d,Kepler-37,1,0,0,0,39.79226220,0.00000650,-0.00000650,0,2.00000,,,1,Mass,0.79,0.01,-0.01,0,0.79,0.03,-0.03,0
HD 168863 b,HD 168863,1,1,0,0,14773.93272000,8638.61024000,-2644.05863000,0,2154.87660,354.06085,-348.33993,0,Mass,0.78,0.06,-0.07,0,0.80,0.10,-0.10,0
HD 207496 b,HD 207496,1,1,0,0,6.44100800,0.00001100,-0.00001100,0,6.10000,1.60000,-1.60000,0,Mass,0.77,0.03,-0.03,0,0.80,0.04,-0.04,0
HD 207897 b,HD 207897,1,1,0,0,16.20215900,0.00008500,-0.00008300,0,14.40000,1.60000,-1.60000,0,Mass,0.78,0.02,-0.02,0,0.80,0.04,-0.03,0
K2-131 b,K2-131,1,1,0,0,0.36930380,0.00000910,-0.00000910,0,7.90000,1.30000,-1.30000,0,Mass,0.76,0.01,-0.01,0,0.80,0.03,-0.03,0
K2-77 b,K2-77,1,0,0,0,8.19979600,0.00068300,-0.00071900,0,603.87700,,,1,Mass,0.76,0.03,-0.03,0,0.80,0.12,-0.12,0
TOI-1416 b,TOI-1416,1,1,0,0,1.06975680,0.00000280,-0.00000280,0,3.48000,0.47000,-0.47000,0,Mass,0.79,0.04,-0.03,0,0.80,0.04,-0.04,0
HD 166724 b,HD 166724,1,1,1,0,5144.00000000,705.00000000,-467.00000000,0,1207.74795,206.58846,-92.17024,0,Mass,0.80,0.01,-0.02,0,0.81,0.02,-0.02,0
HD 191939 b,HD 191939,1,1,0,0,8.88032560,0.00000470,-0.00000470,0,10.00000,0.70000,-0.70000,0,Mass,0.94,0.02,-0.02,0,0.81,0.04,-0.04,0
HD 191939 c,HD 191939,1,1,0,0,28.57974300,0.00004500,-0.00004500,0,8.00000,1.00000,-1.00000,0,Mass,0.94,0.02,-0.02,0,0.81,0.04,-0.04,0
HD 191939 d,HD 191939,1,1,0,0,38.35303700,0.00006000,-0.00006000,0,2.80000,0.60000,-0.60000,0,Mass,0.94,0.02,-0.02,0,0.81,0.04,-0.04,0
HD 219134 b,HD 219134,1,1,0,0,3.09292600,0.00001000,-0.00001000,0,4.74000,0.19000,-0.19000,0,Mass,0.78,0.01,-0.01,0,0.81,0.03,-0.03,0
HD 219134 c,HD 219134,1,1,0,0,6.76458000,0.00033000,-0.00033000,0,4.36000,0.22000,-0.22000,0,Mass,0.78,0.01,-0.01,0,0.81,0.03,-0.03,0
HD 219134 d,HD 219134,1,1,0,0,46.85900000,0.02800000,-0.02800000,0,16.17000,0.64000,-0.64000,-1,Mass,0.78,0.01,-0.01,0,0.81,0.03,-0.03,0
HD 27894 d,HD 27894,1,1,0,0,5019.54244000,32.59359000,-31.12557000,0,2063.65985,313.69664,-112.19343,0,Mass,0.89,0.01,-0.02,0,0.81,0.10,-0.10,0
HD 86065 b,HD 86065,1,1,0,0,25775.78859000,13279.46721000,-9595.00303000,0,2877.30057,854.95841,-815.86552,0,Mass,0.78,0.05,-0.04,0,0.81,0.09,-0.09,0
HD 87883 b,HD 87883,1,1,1,0,3309.22118000,27.48456000,-30.46482000,0,1719.13385,149.06152,-201.82104,0,Mass,0.80,0.01,-0.01,0,0.81,0.09,-0.09,0
Kepler-351 b,Kepler-351,1,0,0,0,37.05491900,0.00048400,-0.00048400,0,4.80000,5.70000,-4.70000,0,Mass,0.85,0.41,-0.41,0,0.81,0.05,-0.06,0
Kepler-351 c,Kepler-351,1,0,0,0,57.24809000,0.00059900,-0.00059900,0,11.10000,9.90000,-7.60000,0,Mass,0.85,0.41,-0.41,0,0.81,0.05,-0.06,0
Kepler-94 b,Kepler-94,1,1,0,0,2.50806000,,,0,10.84000,1.40000,-1.40000,0,Mass,0.76,0.03,-0.03,0,0.81,0.06,-0.06,0
Kepler-94 c,Kepler-94,1,1,0,0,820.30000000,3.00000000,-3.00000000,0,3126.00000,200.00000,-200.00000,0,Mass,0.76,0.03,-0.03,0,0.81,0.06,-0.06,0
TOI-561 b,TOI-561,1,1,0,0,0.44656880,0.00000070,-0.00000080,0,2.00000,0.23000,-0.23000,0,Mass,0.84,0.01,-0.01,0,0.81,0.04,-0.04,0
TOI-561 c,TOI-561,1,1,0,0,10.77883100,0.00003400,-0.00003600,0,5.39000,0.69000,-0.68000,0,Mass,0.84,0.01,-0.01,0,0.81,0.04,-0.04,0
WASP-144 b,WASP-144,1,1,0,0,2.27831520,0.00000130,-0.00000130,0,139.84520,19.06980,-19.06980,0,Mass,0.81,0.04,-0.04,0,0.81,0.04,-0.04,0
WASP-41 b,WASP-41,1,1,0,0,3.05240000,0.00000100,-0.00000100,0,270.15550,34.96130,-34.96130,0,Mass,0.83,0.04,-0.04,0,0.81,0.15,-0.15,0
BD+63 1405 b,BD+63 1405,1,1,1,0,1198.48000000,60.79000000,-60.79000000,0,3305.41543,413.17693,-349.61125,0,Mass,0.80,0.04,-0.06,0,0.82,0.08,-0.08,0
CoRoT-7 b,CoRoT-7,1,1,0,0,0.85359163,0.00000001,-0.00000001,0,4.07661,1.01982,-1.01982,0,Mass,0.83,0.04,-0.04,0,0.82,0.17,-0.17,0
Kepler-221 c,Kepler-221,1,0,0,0,5.69058600,0.00000400,-0.00000400,0,15.10000,10.10000,-6.70000,0,Mass,0.82,0.07,-0.07,0,0.82,0.03,-0.03,0
OGLE-TR-111 b,OGLE-TR-111,1,1,0,0,4.01444630,0.00000100,-0.00000100,0,174.79900,31.78200,-31.78200,0,Mass,0.83,0.02,-0.02,0,0.82,0.02,-0.02,0
TOI-1811 b,TOI-1811,1,1,0,0,3.71307650,0.00000170,-0.00000170,0,308.92921,24.15496,-24.79062,0,Mass,0.77,0.02,-0.02,0,0.82,0.03,-0.03,0
TOI-2202 b,TOI-2202,1,1,0,0,11.91010000,0.00220000,-0.00360000,0,310.83618,20.02319,-18.68831,0,Mass,0.79,0.01,-0.01,0,0.82,0.03,-0.02,0
TOI-2202 c,TOI-2202,1,1,0,0,24.67440000,0.02580000,-0.03390000,0,117.27868,32.73633,-26.57045,0,Mass,0.79,0.01,-0.01,0,0.82,0.03,-0.02,0
WTS-2 b,WTS-2,1,1,0,0,1.01870680,0.00000065,-0.00000065,0,355.96960,50.85280,-50.85280,0,Mass,0.75,0.03,-0.03,0,0.82,0.08,-0.08,0
eps Eri b,eps Eri,1,1,0,0,2671.00000000,17.00000000,-23.00000000,0,209.76675,38.13941,-28.60456,0,Mass,0.76,0.01,-0.01,0,0.82,0.02,-0.02,0
HD 128311 c,HD 128311,1,1,1,0,921.53800000,1.15000000,-1.15000000,0,1204.25787,293.67492,-137.30256,0,Mass,0.76,0.02,-0.02,0,0.83,0.01,-0.01,0
HD 95338 b,HD 95338,1,1,0,0,55.08700000,0.02000000,-0.02000000,0,42.44000,2.22000,-2.08000,0,Mass,0.87,0.04,-0.04,0,0.83,0.02,-0.02,0
K2-285 b,K2-285,1,1,0,0,3.47174500,0.00004400,-0.00004600,0,9.68000,1.21000,-1.37000,0,Mass,0.79,0.02,-0.02,0,0.83,0.02,-0.02,0
K2-285 c,K2-285,1,1,0,0,7.13804800,0.00007200,-0.00006300,0,15.68000,2.28000,-2.13000,0,Mass,0.79,0.02,-0.02,0,0.83,0.02,-0.02,0
K2-285 d,K2-285,1,0,0,0,10.45582000,0.00025000,-0.00023000,0,6.50000,,,1,Mass,0.79,0.02,-0.02,0,0.83,0.02,-0.02,0
K2-285 e,K2-285,1,0,0,0,14.76289000,0.00065000,-0.00061000,0,10.70000,,,1,Mass,0.79,0.02,-0.02,0,0.83,0.02,-0.02,0
TOI-220 b,TOI-220,1,1,0,0,10.69526400,0.00008600,-0.00008600,0,13.80000,1.00000,-1.00000,0,Mass,0.86,0.03,-0.03,0,0.83,0.03,-0.03,0
WASP-46 b,WASP-46,1,1,0,0,1.43036763,0.00000093,-0.00000093,0,607.05530,41.31790,-41.31790,0,Mass,0.86,0.03,-0.03,0,0.83,0.08,-0.08,0
HAT-P-19 b,HAT-P-19,1,1,0,0,4.00877800,0.00000600,-0.00000600,0,92.80200,5.72100,-5.72100,0,Mass,0.82,0.05,-0.05,0,0.84,0.04,-0.04,0
HATS-43 b,HATS-43,1,1,0,0,4.38884970,0.00000590,-0.00000590,0,82.95363,17.16282,-17.16282,0,Mass,0.81,0.03,-0.03,0,0.84,0.02,-0.02,0
HD 3167 b,HD 3167,1,1,0,0,0.95964100,0.00001100,-0.00001100,0,4.97000,0.24000,-0.23000,0,Mass,0.88,0.01,-0.01,0,0.84,0.05,-0.04,0
HD 3167 c,HD 3167,1,1,0,0,29.84540000,0.00120000,-0.00120000,0,11.13000,0.78000,-0.74000,0,Mass,0.88,0.01,-0.01,0,0.84,0.05,-0.04,0
K2-111 b,K2-111,1,1,0,0,5.35180000,0.00040000,-0.00040000,0,5.58000,0.74000,-0.73000,0,Mass,1.25,0.02,-0.02,0,0.84,0.02,-0.02,0
Qatar-1 b,Qatar-1,1,1,0,0,1.42002420,0.00000022,-0.00000022,0,411.27202,16.52716,-15.57367,0,Mass,0.80,0.02,-0.02,0,0.84,0.04,-0.04,0
TOI-1694 b,TOI-1694,1,1,0,0,3.77015000,0.00010000,-0.00010000,0,26.10000,2.20000,-2.20000,0,Mass,0.82,0.05,-0.05,0,0.84,0.03,-0.03,0
WASP-156 b,WASP-156,1,1,0,0,3.83616900,0.00000300,-0.00000300,0,40.68224,3.17830,-2.86047,0,Mass,0.76,0.03,-0.03,0,0.84,0.05,-0.05,0
WASP-53 b,WASP-53,1,1,0,0,3.30984430,0.00000200,-0.00000200,0,677.61356,29.24036,-29.87602,0,Mass,0.80,0.02,-0.02,0,0.84,0.05,-0.05,0
WASP-84 b,WASP-84,1,1,0,0,8.52349648,0.00000060,-0.00000060,0,220.00000,18.00000,-18.00000,0,Mass,0.75,0.02,-0.02,0,0.84,0.04,-0.04,0
WASP-84 c,WASP-84,1,1,0,0,1.44688490,0.00000220,-0.00000160,0,15.20000,4.50000,-4.20000,0,Mass,0.75,0.02,-0.02,0,0.84,0.04,-0.04,0
WASP-91 b,WASP-91,1,1,0,0,2.79858100,0.00000300,-0.00000300,0,425.89220,25.42640,-25.42640,0,Mass,0.86,0.03,-0.03,0,0.84,0.07,-0.07,0
HATS-7 b,HATS-7,1,1,0,0,3.18531500,0.00000540,-0.00000540,0,38.13960,3.81396,-3.81396,0,Mass,0.82,0.05,-0.04,0,0.85,0.03,-0.03,0
HD 16905 b,HD 16905,1,1,0,0,10256.00000000,618.00000000,-522.00000000,0,3591.46100,190.69704,-222.47988,0,Mass,0.77,0.06,-0.06,0,0.85,0.04,-0.04,0
HD 18143 c,HD 18143,1,1,0,0,28982.41764000,18264.56731000,-7978.16709000,0,3177.64841,623.26151,-594.65695,0,Mass,0.87,0.03,-0.03,0,0.85,0.10,-0.10,0
HD 29021 b,HD 29021,1,1,1,0,1362.30000000,4.60000000,-4.00000000,0,1420.69298,212.94503,-206.58846,0,Mass,0.85,0.09,-0.09,0,0.85,0.08,-0.08,0
Kepler-305 d,Kepler-305,1,0,0,0,16.73866100,0.00014500,-0.00014500,0,9.10000,6.10000,-3.80000,0,Mass,0.79,0.05,-0.05,0,0.85,0.03,-0.04,0
Kepler-326 b,Kepler-326,1,0,0,0,2.24832900,0.00000400,-0.00000400,0,44.60000,47.70000,-33.30000,0,Mass,0.80,0.05,-0.05,0,0.85,0.03,-0.04,0
Kepler-326 c,Kepler-326,1,0,0,0,4.58035800,0.00001000,-0.00001000,0,17.40000,15.40000,-10.70000,0,Mass,0.80,0.05,-0.05,0,0.85,0.03,-0.04,0
Kepler-326 d,Kepler-326,1,0,0,0,6.76688800,0.00002300,-0.00002300,0,6.90000,8.50000,-5.90000,0,Mass,0.80,0.05,-0.05,0,0.85,0.03,-0.04,0
Kepler-396 b,Kepler-396,1,0,0,0,42.99400000,,,0,75.50000,11.80000,-5.80000,0,Mass,1.06,0.39,-0.20,0,0.85,0.13,-0.06,0
Kepler-396 c,Kepler-396,1,0,0,0,88.50500000,,,0,17.90000,2.80000,-1.30000,0,Mass,1.06,0.39,-0.20,0,0.85,0.13,-0.06,0
Kepler-423 b,Kepler-423,1,1,0,0,2.68432850,0.00000007,-0.00000007,0,189.10100,25.74300,-25.74300,0,Mass,0.95,0.04,-0.04,0,0.85,0.04,-0.04,0
TOI-1272 b,TOI-1272,1,1,0,0,3.31599000,0.00002000,-0.00002000,0,24.60000,2.30000,-2.30000,0,Mass,0.79,0.03,-0.03,0,0.85,0.05,-0.05,0
TOI-2525 b,TOI-2525,1,1,0,0,23.28560000,0.00170000,-0.00170000,0,26.69759,1.58914,-1.58914,0,Mass,0.79,0.03,-0.03,0,0.85,0.04,-0.04,0
TOI-2525 c,TOI-2525,1,1,0,0,49.25190000,0.00040000,-0.00040000,0,208.81326,9.85268,-10.17051,0,Mass,0.79,0.03,-0.03,0,0.85,0.04,-0.04,0
HATS-44 b,HATS-44,1,1,0,0,2.74390040,0.00000320,-0.00000320,0,177.98480,34.96130,-34.96130,0,Mass,0.85,0.04,-0.04,0,0.86,0.02,-0.02,0
HD 25015 b,HD 25015,1,1,1,0,6134.42700000,618.42583000,-506.67463000,0,2884.92845,367.72747,-579.40119,0,Mass,0.83,0.04,-0.04,0,0.86,0.10,-0.10,0
K2-114 b,K2-114,1,1,0,0,11.39093110,0.00000340,-0.00000340,0,638.83510,38.13941,-38.13941,0,Mass,0.82,0.02,-0.02,0,0.86,0.04,-0.03,0
K2-182 b,K2-182,1,0,0,0,4.73696830,0.00000230,-0.00000230,0,20.00000,5.00000,-5.00000,0,Mass,0.79,0.01,-0.01,0,0.86,0.02,-0.02,0
KOI-3503 b,KOI-3503,1,0,0,0,21.18500000,,,0,9.20000,,,1,Mass,1.25,0.03,-0.03,0,0.86,0.02,-0.02,0
KOI-3503 c,KOI-3503,1,0,0,0,31.82800000,,,0,10.36000,,,1,Mass,1.25,0.03,-0.03,0,0.86,0.02,-0.02,0
Kepler-161 b,Kepler-161,1,0,0,0,4.92135500,0.00000600,-0.00000600,0,12.10000,7.40000,-6.30000,0,Mass,0.81,0.05,-0.05,0,0.86,0.03,-0.03,0
Kepler-161 c,Kepler-161,1,0,0,0,7.06424000,0.00001100,-0.00001100,0,11.80000,10.50000,-7.50000,0,Mass,0.81,0.05,-0.05,0,0.86,0.03,-0.03,0
Kepler-22 b,Kepler-22,1,0,0,0,289.86387600,0.00001300,-0.00001300,0,9.10000,,,1,Mass,0.87,0.01,-0.01,0,0.86,0.05,-0.04,0
Kepler-245 c,Kepler-245,1,0,0,0,17.46081200,0.00007600,-0.00007600,0,225.60000,61.30000,-36.50000,0,Mass,0.80,0.05,-0.05,0,0.86,0.03,-0.03,0
Kepler-245 d,Kepler-245,1,0,0,0,36.27710800,0.00017300,-0.00017300,0,21.60000,16.60000,-12.10000,0,Mass,0.80,0.05,-0.05,0,0.86,0.03,-0.03,0
Kepler-272 b,Kepler-272,1,0,0,0,2.97135300,0.00001700,-0.00001700,0,78.00000,93.80000,-66.90000,0,Mass,0.93,0.50,-0.50,0,0.86,0.06,-0.03,0
Kepler-272 c,Kepler-272,1,0,0,0,6.05734200,0.00003700,-0.00003700,0,97.80000,55.50000,-33.90000,0,Mass,0.93,0.50,-0.50,0,0.86,0.06,-0.03,0
Kepler-317 b,Kepler-317,1,0,0,0,5.52424200,0.00002700,-0.00002700,0,109.80000,113.60000,-95.90000,0,Mass,0.94,0.43,-0.43,0,0.86,0.06,-0.03,0
NGTS-11 b,NGTS-11,1,1,0,0,35.45533000,0.00019000,-0.00019000,0,109.33352,29.24036,-23.20159,0,Mass,0.83,0.01,-0.01,0,0.86,0.03,-0.03,0
TOI-125 b,TOI-125,1,1,0,0,4.65382000,0.00033000,-0.00031000,0,9.50000,0.88000,-0.88000,0,Mass,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0
TOI-125 c,TOI-125,1,1,0,0,9.15059000,0.00070000,-0.00082000,0,6.63000,0.99000,-0.99000,0,Mass,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0
TOI-125 d,TOI-125,1,1,0,0,19.98000000,0.00500000,-0.00560000,0,13.60000,1.20000,-1.20000,0,Mass,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0
WASP-4 b,WASP-4,1,1,0,0,1.33823147,0.00000002,-0.00000002,0,376.94638,28.60470,-31.14734,0,Mass,0.89,0.03,-0.03,0,0.86,0.08,-0.09,0
HATS-15 b,HATS-15,1,1,0,0,1.74748753,0.00000094,-0.00000094,0,689.69110,47.67450,-47.67450,0,Mass,0.92,0.03,-0.03,0,0.87,0.02,-0.02,0
HD 136352 b,HD 136352,1,1,0,0,11.57797000,0.00008000,-0.00013000,0,4.72000,0.42000,-0.42000,0,Mass,1.06,0.02,-0.02,0,0.87,0.04,-0.04,0
HD 136352 c,HD 136352,1,1,0,0,27.59221000,0.00011000,-0.00011000,0,11.24000,0.65000,-0.63000,0,Mass,1.06,0.02,-0.02,0,0.87,0.04,-0.04,0
HD 136352 d,HD 136352,1,1,0,0,107.24500000,0.05000000,-0.05000000,0,8.82000,0.93000,-0.92000,0,Mass,1.06,0.02,-0.02,0,0.87,0.04,-0.04,0
K2-229 b,K2-229,1,1,0,0,0.58421600,0.00002200,-0.00002200,0,2.49000,0.42000,-0.43000,0,Mass,0.79,0.01,-0.01,0,0.87,0.01,-0.01,0
K2-229 c,K2-229,1,0,0,0,8.32727000,0.00041000,-0.00043000,0,21.30000,,,1,Mass,0.79,0.01,-0.01,0,0.87,0.01,-0.01,0
Kepler-428 b,Kepler-428,1,1,0,0,3.52563254,0.00000015,-0.00000015,0,403.63000,60.39000,-60.39000,0,Mass,0.80,0.02,-0.02,0,0.87,0.05,-0.05,0
Lupus-TR-3 b,Lupus-TR-3,1,1,0,0,3.91405000,0.00004000,-0.00004000,0,257.43100,57.20700,-57.20700,0,Mass,0.82,0.05,,0,0.87,0.04,,0
TOI-1246 b,TOI-1246,1,1,0,0,4.30744000,0.00002000,-0.00002000,0,8.10000,1.10000,-1.10000,0,Mass,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0
TOI-1246 c,TOI-1246,1,1,0,0,5.90414400,0.00008300,-0.00008300,0,8.80000,1.20000,-1.20000,0,Mass,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0
TOI-1246 d,TOI-1246,1,1,0,0,18.65590000,0.00048000,-0.00048000,0,5.30000,1.70000,-1.70000,0,Mass,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0
TOI-1246 e,TOI-1246,1,1,0,0,37.92160000,0.00100000,-0.00100000,0,14.80000,2.30000,-2.30000,0,Mass,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0
TOI-3693 b,TOI-3693,1,1,0,0,9.08851600,0.00002600,-0.00002700,0,324.18498,76.27882,-69.92225,0,Mass,0.79,0.02,-0.01,0,0.87,0.04,-0.04,0
WASP-52 b,WASP-52,1,1,0,0,1.74977980,0.00000120,-0.00000120,0,146.20000,6.36000,-6.36000,0,Mass,0.79,0.02,-0.02,0,0.87,0.03,-0.03,0
CoRoT-8 b,CoRoT-8,1,1,0,0,6.21229000,0.00003000,-0.00003000,0,69.92000,9.53000,-9.53000,0,Mass,0.77,0.02,-0.02,0,0.88,0.04,-0.04,0
